# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
17709615.38462,-28498076.92308,-2540384.61538,   0.05446,  -0.06568,  -0.01321,40617994.88990,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-14810032.27541,   0.00000
18140384.61538,-29121153.84615,-2625000.00000,   0.05573,  -0.06715,  -0.01365,41545829.65279,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-13882197.51252,   0.00000
18574038.46154,-29737500.00000,-2709615.38462,   0.05700,  -0.06861,  -0.01409,42469816.65099,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-12958210.51432,   0.00000
19010576.92308,-30347115.38462,-2794230.76923,   0.05827,  -0.07006,  -0.01453,43389961.91867,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-12038065.24664,   0.00000
19437500.00000,-30966346.15385,-2882692.30769,   0.05953,  -0.07152,  -0.01499,44312177.76817,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-11115849.39714,   0.00000
19870192.30769,-31572115.38462,-2971153.84615,   0.06079,  -0.07296,  -0.01545,45226654.55226,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-10201372.61304,   0.00000
20309615.38462,-32175000.00000,-3059615.38462,   0.06206,  -0.07440,  -0.01591,46143869.75511,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-9284157.41020,   0.00000
20742307.69231,-32780769.23077,-3150000.00000,   0.06332,  -0.07584,  -0.01638,47058882.91851,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-8369144.24679,   0.00000
21177884.61538,-33379807.69231,-3242307.69231,   0.06458,  -0.07727,  -0.01686,47970467.49474,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-7457559.67056,   0.00000
21613461.53846,-33978846.15385,-3334615.38462,   0.06584,  -0.07870,  -0.01734,48882135.48300,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-6545891.68230,   0.00000
22051923.07692,-34571153.84615,-3426923.07692,   0.06710,  -0.08012,  -0.01782,49789997.19086,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-5638029.97444,   0.00000
22483653.84615,-35166346.15385,-3521153.84615,   0.06835,  -0.08154,  -0.01831,50695661.74011,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-4732365.42519,   0.00000
22925000.00000,-35751923.07692,-3617307.69231,   0.06961,  -0.08295,  -0.01881,51600612.49694,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-3827414.66837,   0.00000
23362500.00000,-36333653.84615,-3713461.53846,   0.07086,  -0.08435,  -0.01931,52499097.00019,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-2928930.16511,   0.00000
23803846.15385,-36919230.76923,-3811538.46154,   0.07212,  -0.08576,  -0.01982,53404642.66324,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-2023384.50207,   0.00000
24244230.76923,-37494230.76923,-3911538.46154,   0.07337,  -0.08715,  -0.02034,54300269.32954,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-1127757.83577,   0.00000
24684615.38462,-38069230.76923,-4011538.46154,   0.07462,  -0.08854,  -0.02086,55195998.13446,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-232029.03085,   0.00000
24898908.22162,-38321110.09913,-4076127.83986,   0.07587,  -0.08993,  -0.02138,55609903.50350,   0.00083,55109903.49958,   0.00066,  -0.00076,  -0.00018,   0.00392,   2.00000
25036612.18089,-38453496.59399,-4129822.16938,   0.07712,  -0.09131,  -0.02191,55851722.66345,   0.00196,55351722.65164,   0.00156,  -0.00180,  -0.00043,   0.01181,   2.00000
25176608.35584,-38579134.19502,-4184959.22545,   0.07837,  -0.09268,  -0.02245,56089612.29170,   0.00308,55589612.28104,   0.00246,  -0.00283,  -0.00069,   0.01065,   2.00000
25314876.89447,-38703126.79375,-4239440.96216,   0.07962,  -0.09405,  -0.02299,56324581.53440,   0.00422,55824581.52463,   0.00336,  -0.00386,  -0.00094,   0.00977,   2.00000
25449905.48772,-38824912.10231,-4293641.31912,   0.08086,  -0.09541,  -0.02353,56554998.89480,   0.00534,56054998.88609,   0.00426,  -0.00490,  -0.00120,   0.00870,   2.00000
25588732.15841,-38940543.23204,-4350807.03864,   0.08211,  -0.09677,  -0.02409,56783596.37441,   0.00648,56283596.36628,   0.00516,  -0.00594,  -0.00147,   0.00813,   2.00000
25724532.15559,-39054338.82292,-4405800.65671,   0.08335,  -0.09812,  -0.02464,57007725.51738,   0.00762,56507725.51013,   0.00607,  -0.00698,  -0.00173,   0.00725,   2.00000
25864143.92405,-39162087.86525,-4463750.83307,   0.08460,  -0.09947,  -0.02521,57230168.25331,   0.00876,56730168.24652,   0.00698,  -0.00802,  -0.00200,   0.00679,   2.00000
26000629.60765,-39267927.47749,-4521411.96085,   0.08584,  -0.10081,  -0.02578,57448439.53088,   0.00990,56948439.52480,   0.00789,  -0.00906,  -0.00227,   0.00608,   2.00000
26135553.63595,-39372479.34247,-4578411.30039,   0.08708,  -0.10215,  -0.02635,57664255.73241,   0.01104,57164255.72679,   0.00880,  -0.01011,  -0.00254,   0.00562,   2.00000
26273000.02714,-39470784.07506,-4636861.63968,   0.08832,  -0.10348,  -0.02693,57876858.02286,   0.01218,57376858.01774,   0.00972,  -0.01115,  -0.00282,   0.00512,   2.00000
26408910.45790,-39567915.30113,-4694647.43925,   0.08956,  -0.10481,  -0.02751,58087134.10714,   0.01333,57587134.10240,   0.01063,  -0.01220,  -0.00310,   0.00474,   2.00000
26547373.10963,-39658910.49559,-4753885.53690,   0.09080,  -0.10613,  -0.02810,58294342.58881,   0.01448,57794342.58448,   0.01155,  -0.01324,  -0.00338,   0.00432,   2.00000
26688382.95956,-39743844.10651,-4814565.40731,   0.09204,  -0.10744,  -0.02870,58498563.92547,   0.01563,57998563.92152,   0.01247,  -0.01429,  -0.00366,   0.00395,   2.00000
26822195.46153,-39832017.79317,-4874737.91689,   0.09327,  -0.10875,  -0.02930,58700010.11076,   0.01678,58200010.10714,   0.01338,  -0.01533,  -0.00395,   0.00362,   2.00000
26964485.10502,-39910199.69511,-4934308.21306,   0.09451,  -0.11005,  -0.02990,58899131.35628,   0.01793,58399131.35293,   0.01430,  -0.01638,  -0.00424,   0.00335,   2.00000
27099430.97068,-39991485.45531,-4995264.86822,   0.09574,  -0.11135,  -0.03051,59095706.95642,   0.01908,58595706.95333,   0.01523,  -0.01743,  -0.00453,   0.00309,   2.00000
27242687.83624,-40062619.57439,-5057486.11257,   0.09698,  -0.11264,  -0.03113,59290180.16509,   0.02023,58790180.16222,   0.01615,  -0.01848,  -0.00483,   0.00287,   2.00000
27378803.58663,-40137201.50349,-5119203.33201,   0.09821,  -0.11393,  -0.03175,59482107.52075,   0.02138,58982107.51811,   0.01707,  -0.01952,  -0.00513,   0.00264,   2.00000
27517590.22590,-40205964.62557,-5182365.87083,   0.09944,  -0.11521,  -0.03238,59671428.42746,   0.02254,59171428.42504,   0.01800,  -0.02057,  -0.00543,   0.00243,   2.00000
27659223.71568,-40269225.61015,-5245095.44890,   0.10067,  -0.11648,  -0.03301,59858097.08475,   0.02369,59358097.08252,   0.01892,  -0.02162,  -0.00574,   0.00223,   2.00000
