# sigma_xx, sigma_yy, sigma_zz, sigma_xy, sigma_yz, sigma_xz, epsilon_xx, epsilon_yy, epsilon_zz, epsilon_xy, epsilon_yz, epsilon_xz, vonMises, epsPlastic, hardening, epsilonP_xx, epsilonP_yy, epsilonP_zz, epsilonP_xy, epsilonP_yz, epsilonP_xz, yieldValue, iteration
-60095544.17650,-50002666.28862,-33029463.13954,12783553.29131,   0.00000,   0.00000,  -0.07037,  -0.04413,   0.00000,   0.06647,   0.00000,   0.00000,32427179.65233,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-23000847.51297,   0.00000
-60171143.21352,-50049001.18227,-33066043.31874,12863216.79268,   0.00000,   0.00000,  -0.07047,  -0.04416,   0.00000,   0.06689,   0.00000,   0.00000,32544885.42716,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22883141.73815,   0.00000
-60249993.82201,-50092084.50444,-33102623.49794,12942880.29405,   0.00000,   0.00000,  -0.07058,  -0.04417,   0.00000,   0.06730,   0.00000,   0.00000,32664304.09747,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22763723.06783,   0.00000
-60325592.85903,-50138419.39810,-33139203.67714,13024169.58116,   0.00000,   0.00000,  -0.07068,  -0.04420,   0.00000,   0.06773,   0.00000,   0.00000,32784337.37833,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22643689.78697,   0.00000
-60398753.21743,-50179064.04165,-33173345.17772,13103833.08253,   0.00000,   0.00000,  -0.07079,  -0.04421,   0.00000,   0.06814,   0.00000,   0.00000,32902294.84843,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22525732.31688,   0.00000
-60480042.50454,-50227837.61392,-33212364.03554,13183496.58390,   0.00000,   0.00000,  -0.07090,  -0.04424,   0.00000,   0.06855,   0.00000,   0.00000,33022627.30592,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22405399.85939,   0.00000
-60555641.54156,-50274172.50757,-33248944.21474,13263160.08527,   0.00000,   0.00000,  -0.07100,  -0.04427,   0.00000,   0.06897,   0.00000,   0.00000,33141297.61720,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22286729.54811,   0.00000
-60628801.89996,-50314817.15113,-33283085.71533,13341197.80090,   0.00000,   0.00000,  -0.07110,  -0.04428,   0.00000,   0.06937,   0.00000,   0.00000,33257869.01868,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22170158.14663,   0.00000
-60704400.93697,-50361152.04478,-33319665.89453,13420861.30227,   0.00000,   0.00000,  -0.07120,  -0.04431,   0.00000,   0.06979,   0.00000,   0.00000,33376907.20969,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-22051119.95562,   0.00000
-60779999.97399,-50407486.93844,-33356246.07373,13500524.80364,   0.00000,   0.00000,  -0.07130,  -0.04433,   0.00000,   0.07020,   0.00000,   0.00000,33496127.68308,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21931899.48222,   0.00000
-60855599.01100,-50453821.83209,-33392826.25293,13578562.51927,   0.00000,   0.00000,  -0.07140,  -0.04436,   0.00000,   0.07061,   0.00000,   0.00000,33613558.17770,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21814468.98761,   0.00000
-60931198.04802,-50500156.72575,-33429406.43213,13658226.02064,   0.00000,   0.00000,  -0.07150,  -0.04438,   0.00000,   0.07102,   0.00000,   0.00000,33733132.88832,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21694894.27698,   0.00000
-61006797.08503,-50546491.61940,-33465986.61133,13736263.73626,   0.00000,   0.00000,  -0.07161,  -0.04441,   0.00000,   0.07143,   0.00000,   0.00000,33850904.95029,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21577122.21502,   0.00000
-61082396.12205,-50592826.51305,-33502566.79053,13814301.45189,   0.00000,   0.00000,  -0.07171,  -0.04443,   0.00000,   0.07183,   0.00000,   0.00000,33968842.94131,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21459184.22399,   0.00000
-61157995.15906,-50639161.40671,-33539146.96973,13892339.16752,   0.00000,   0.00000,  -0.07181,  -0.04446,   0.00000,   0.07224,   0.00000,   0.00000,34086945.13910,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21341082.02621,   0.00000
-61236032.87469,-50691186.55046,-33578165.82754,13970376.88315,   0.00000,   0.00000,  -0.07191,  -0.04449,   0.00000,   0.07265,   0.00000,   0.00000,34205521.87444,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21222505.29087,   0.00000
-61311631.91170,-50737521.44411,-33614746.00675,14046788.81303,   0.00000,   0.00000,  -0.07201,  -0.04452,   0.00000,   0.07304,   0.00000,   0.00000,34321949.21212,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-21106077.95318,   0.00000
-61387230.94872,-50783856.33777,-33651326.18595,14124826.52866,   0.00000,   0.00000,  -0.07211,  -0.04454,   0.00000,   0.07345,   0.00000,   0.00000,34440527.74234,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20987499.42297,   0.00000
-61465268.66435,-50835881.48152,-33690345.04376,14201238.45855,   0.00000,   0.00000,  -0.07221,  -0.04458,   0.00000,   0.07385,   0.00000,   0.00000,34557565.85966,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20870461.30565,   0.00000
-61543306.37997,-50887906.62527,-33729363.90157,14277650.38843,   0.00000,   0.00000,  -0.07232,  -0.04461,   0.00000,   0.07424,   0.00000,   0.00000,34674748.24863,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20753278.91668,   0.00000
-61621344.09560,-50939931.76902,-33768382.75939,14354062.31832,   0.00000,   0.00000,  -0.07242,  -0.04465,   0.00000,   0.07464,   0.00000,   0.00000,34792073.45148,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20635953.71383,   0.00000
-61691252.88252,-50983827.98406,-33802524.25997,14430474.24820,   0.00000,   0.00000,  -0.07251,  -0.04467,   0.00000,   0.07504,   0.00000,   0.00000,34907440.83978,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20520586.32552,   0.00000
-61769290.59815,-51035853.12782,-33841543.11779,14506886.17809,   0.00000,   0.00000,  -0.07261,  -0.04471,   0.00000,   0.07544,   0.00000,   0.00000,35025052.00197,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20402975.16334,   0.00000
-61849766.99239,-51093568.52167,-33883000.65422,14581672.32223,   0.00000,   0.00000,  -0.07271,  -0.04475,   0.00000,   0.07582,   0.00000,   0.00000,35141076.23248,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20286950.93283,   0.00000
-61927804.70802,-51145593.66542,-33922019.51203,14656458.46638,   0.00000,   0.00000,  -0.07282,  -0.04478,   0.00000,   0.07621,   0.00000,   0.00000,35256930.06125,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20171097.10406,   0.00000
-62000152.17355,-51195180.13056,-33958599.69123,14731244.61052,   0.00000,   0.00000,  -0.07291,  -0.04482,   0.00000,   0.07660,   0.00000,   0.00000,35371126.63147,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-20056900.53383,   0.00000
-62080628.56779,-51252895.52441,-34000057.22766,14806030.75466,   0.00000,   0.00000,  -0.07301,  -0.04486,   0.00000,   0.07699,   0.00000,   0.00000,35487533.01646,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19940494.14884,   0.00000
-62158666.28341,-51304920.66816,-34039076.08547,14880816.89881,   0.00000,   0.00000,  -0.07311,  -0.04489,   0.00000,   0.07738,   0.00000,   0.00000,35603769.50120,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19824257.66410,   0.00000
-62239142.67766,-51362636.06201,-34080533.62190,14953977.25721,   0.00000,   0.00000,  -0.07321,  -0.04493,   0.00000,   0.07776,   0.00000,   0.00000,35718380.00050,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19709647.16481,   0.00000
-62313928.82180,-51417912.77725,-34119552.47971,15027137.61561,   0.00000,   0.00000,  -0.07331,  -0.04498,   0.00000,   0.07814,   0.00000,   0.00000,35831330.43481,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19596696.73050,   0.00000
